S0,I+I*I$,S5: Shift S5 onto stack and continue with next input.
S0S5,+I*I$,Reduce by R6: F -> I	Pop 1 from state stack and go to S3. Input remains.
S0S3,+I*I$,Reduce by R4: T -> F	Pop 1 from state stack and go to S2. Input remains.
S0S2,+I*I$,Reduce by R2: E -> T	Pop 1 from state stack and go to S1. Input remains.
S0S1,+I*I$,S6: Shift S6 onto stack and continue with next input.
S1S6,I*I$,S5: Shift S5 onto stack and continue with next input.
S1S6,*I$,Reduce by R6: F -> I	Pop 1 from state stack and go to S3. Input remains.
S1S6,*I$,Reduce by R4: T -> F	Pop 1 from state stack and go to S9. Input remains.
S1S6,*I$,S7: Shift S7 onto stack and continue with next input.
S6S9,I$,S5: Shift S5 onto stack and continue with next input.
S6S9S7,$,Reduce by R6: F -> I	Pop 1 from state stack and go to S10. Input remains.
S6S9S7,$,Reduce by R3: T -> T * F	Pop 3 from state stack and go to S9. Input remains.
S1S6,$,Reduce by R1: E -> E + T	Pop 3 from state stack and go to S1. Input remains.
S0S1,$,accept
